No	MOT1	MOT2	MOT3	LK1	LK2	LK3	LK4	DK1	DK2	DK3	KK1	KK2	KK3	KK4
1	5	5	5	2	2	2	2	2	2	2	2	2	2	2
2	5	5	5	5	5	5	5	5	5	5	5	5	1	5
3	4	4	4	4	4	4	4	4	4	4	1	1	1	1
4	5	5	5	5	5	5	1	5	5	5	5	5	5	5
5	5	5	5	2	2	2	2	2	2	2	2	2	2	2
6	5	1	5	5	5	5	5	5	5	5	5	5	5	5
7	5	5	5	5	1	5	5	5	5	5	5	5	5	5
8	1	1	1	1	1	1	1	5	5	5	1	1	1	1
9	5	5	5	2	2	2	2	2	2	2	2	2	2	2
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	5	5	5	5	5	5	5	5	5	5	5	5	5	5
12	1	1	1	4	4	4	4	4	4	4	4	4	4	4
13	5	5	5	2	2	2	2	2	2	2	2	2	2	2
14	5	5	5	5	5	5	5	5	5	5	5	5	5	5
15	5	5	5	1	1	1	1	1	1	1	1	1	1	1
16	1	1	1	4	4	4	4	4	4	4	4	4	4	4
17	4	4	4	4	4	4	4	4	4	4	1	1	1	1
18	5	5	5	1	1	1	1	1	1	1	1	1	1	1
19	2	2	2	5	5	5	5	2	2	2	2	2	2	2
20	4	4	4	1	1	1	1	4	4	4	4	4	4	4
21	1	5	5	5	5	5	5	5	5	5	5	5	5	5
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23	2	2	2	2	2	2	2	2	2	2	2	2	2	2
24	5	5	5	5	5	5	5	5	5	5	5	1	5	5
25	4	4	4	4	4	4	4	1	1	1	4	4	4	4
26	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27	1	1	1	5	5	5	5	1	1	1	1	1	1	1
28	1	1	1	5	5	5	5	1	1	1	1	1	1	1
29	4	4	4	1	1	1	1	4	4	4	4	4	4	4
30	5	5	1	5	5	5	5	5	5	5	5	5	5	5
31	4	4	4	1	1	1	1	4	4	4	4	4	4	4
32	1	1	1	5	5	5	5	1	1	1	1	1	1	1
33	5	5	5	5	5	5	5	5	5	5	1	5	5	5
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	3	3	3	3	3	3	3	3	3	3	3	3	3	3
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	2	2	2	5	5	5	5	2	2	2	2	2	2	2
38	4	4	4	4	4	4	4	1	1	1	4	4	4	4
39	1	1	1	1	1	1	1	5	5	5	1	1	1	1
40	5	5	5	5	5	5	5	5	1	5	5	5	5	5
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42	5	5	5	5	5	5	5	5	5	1	5	5	5	5
43	2	2	2	5	5	5	5	2	2	2	2	2	2	2
44	2	2	2	5	5	5	5	2	2	2	2	2	2	2
45	1	1	1	1	1	1	1	5	5	5	1	1	1	1
46	2	2	2	2	2	2	2	2	2	2	2	2	2	2
47	4	4	4	4	4	4	4	1	1	1	4	4	4	4
48	5	5	5	1	1	1	1	1	1	1	1	1	1	1
49	5	5	5	5	5	5	5	5	5	5	5	5	5	1
50	1	1	1	5	5	5	5	1	1	1	1	1	1	1
51	1	1	1	1	1	1	1	1	1	1	1	1	1	1
52	1	1	1	1	1	1	1	1	1	1	1	1	1	1
53	5	5	5	1	1	1	1	1	1	1	1	1	1	1
54	1	1	1	4	4	4	4	4	4	4	4	4	4	4
55	2	2	2	2	2	2	2	2	2	2	2	2	2	2
56	5	5	5	1	5	5	5	5	5	5	5	5	5	5
57	1	1	1	4	4	4	4	4	4	4	4	4	4	4
58	5	5	5	5	5	5	5	1	5	5	5	5	5	5
59	4	4	4	1	1	1	1	4	4	4	4	4	4	4
60	5	5	5	5	5	5	5	5	5	5	5	5	5	5
61	1	1	1	1	1	1	1	5	5	5	1	1	1	1
62	4	4	4	4	4	4	4	4	4	4	1	1	1	1
63	5	5	5	5	5	1	5	5	5	5	5	5	5	5
64	1	1	1	1	1	1	1	1	1	1	1	1	1	1
65	5	5	5	5	5	5	5	5	5	5	5	5	5	5
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1
68	2	2	2	2	2	2	2	2	2	2	2	2	2	2
69	5	5	5	2	2	2	2	2	2	2	2	2	2	2
70	2	2	2	5	5	5	5	2	2	2	2	2	2	2
